,0,1,2,3
10,Artifact Puzzles Bek Cruddace Europe Map ,Artifact,900,"Average,Average"
45,Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,Artifact,"228,216","A-Easy,A-Easy"
46,Artifact Puzzles Sandi Rigby Botanical Dreaming ,Artifact,273,"Hard,Average"
77,DaVici Puzzles Awakening DaVici Puzzles ,DaVici,"450,280","Average,Average"
90,DaVici Puzzles Under the Red Umbrella ,DaVici,600,"Hard,Average"
92,DaVici Red Book ,DaVici,700,"Hard,Average"
95,Davici Puzzles Claude Monet Woman in the Garden ,DaVici,552,"A-Easy,Average"
99,Davici Puzzles Photo Album Ecru Puzzles Sunny November ,"DaVici,Ecru","600,369","Average,Average"
100,Davici Puzzles Seasons ,DaVici,500,"Average,Average"
102,Davici Puzzles Watchmaker ,DaVici,400,"Average,Average"
127,Inside Adventure Odilon Redon Butterflies Peaceful Puzzles Green Heron ,Other-Laser-cut,"604,260","Average,Average"
129,Joyful Nook Puzzles Bettina Mills Coming Home ,,700,"Average,Average"
132,Liberty Puzzle Jo Mora Cowboys of North America ,Liberty,729,"Average,Average"
137,Liberty Puzzles Alan Paterson Historical Map of New Zealand ,Liberty,677,"Hard,Average"
144,Liberty Puzzles Atkinson On The River Greta ,Liberty,609,"Hard,Average"
147,Liberty Puzzles Beautiful Fishes Of The Deep ,Liberty,605,"Average,Average"
149,Liberty Puzzles Beryl and Graham Peters Holiday Crackers ,Liberty,603,"A-Easy,Average"
150,Liberty Puzzles Birds of the Tropics ,Liberty,745,"Average,Average"
161,Liberty Puzzles Claude Monet Sunrise ,Liberty,517,"Hard,Average"
163,Liberty Puzzles Claude Monet The Parc Monceau ,Liberty,507,"Average,Average"
179,Liberty Puzzles Duke Beardsley Close Range ,Liberty,613,"Average,Average"
180,Liberty Puzzles Elena Khmeleva Christmas Tree ,Liberty,755,"Hard,Average"
196,Liberty Puzzles James Sommerville Ocean Life ,Liberty,769,"Hard,Average"
198,Liberty Puzzles Jan Davidson Carmel by the Sea ,Liberty,664,"Hard,Average"
200,Liberty Puzzles Jan Davidson San Francisco ,Liberty,670,"Average,Average"
203,Liberty Puzzles Jane Tattersfield Peacock And Pattern Peaceful Puzzles August Macke Landscape at the Tegersee ,"Liberty,Other-Laser-cut","508,400","Average,Average"
209,Liberty Puzzles Jean Jans The Younger The Battle Of Granicus ,Liberty,602,"Hard,Average"
210,Liberty Puzzles Jean-Leon Gerome Carpet Merchant ,Liberty,658,"Average,Average"
212,Liberty Puzzles Jo Mora Indians of North America ,Liberty,762,"Hard,Average"
223,Liberty Puzzles Linnea Pergola Light Snowfall in New York ,Liberty,702,"Average,Average"
225,Liberty Puzzles Linnea Pergola Maui ,Liberty,703,"Hard,Average"
232,Liberty Puzzles Lynon Aksamit Chasing Butterflies 66 Mya ,Liberty,657,"Hard,Average"
234,Liberty Puzzles Lynon Aksamit Octopus ,Liberty,495,"Really-Hard,Average"
240,Liberty Puzzles Michelangelo Last Judgement ,Liberty,717,"Really-Hard,Average"
