0,1,2,3
Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,Artifact,"228,216","A-Easy,A-Easy"
DaVici Puzzles Awakening DaVici Puzzles ,DaVici,"450,280","Average,Average"
Davici Puzzles Photo Album Ecru Puzzles Sunny November ,"DaVici,Ecru","600,369","Average,Average"
Inside Adventure Odilon Redon Butterflies Peaceful Puzzles Green Heron ,Other-Laser-cut,"604,260","Average,Average"
Liberty Puzzles Jane Tattersfield Peacock And Pattern Peaceful Puzzles August Macke Landscape at the Tegersee ,"Liberty,Other-Laser-cut","508,400","Average,Average"
Liberty Puzzles Sue Coccia Great Horned Owl Liberty Puzzles Jan Barwick ,Liberty,"372,510","Average,Average"
Palmaris Puzzles Susan Schroder Portal Swift Of Spring ZenChalet Puzzles ,,"470,200","Average,Average"
Wentworth Puzzles Fractal Geometry Wentworth Puzzles ,Wentworth,"229,504","Really-Hard,Average"
Artifact Puzzles Sorolla Valencia Artifact Puzzles Monet Bridge ,Artifact,"150,156","A-Easy,Hard"
Whimsy Puzzles Christy Moeller Cat Girl Hartmaze Puzzles Owl ,Other-Laser-cut,"450,209","Average,Average"
Artifact Puzzles Iwona Lifsches Santa Claus Delivery Wentworth Puzzles Do not Disturb ,"Artifact,Wentworth","158,250","A-Easy,Hard"
Artifact Puzzles Edward Hopper Chop Suey Artifact Puzzles Edward Hopper Nighthawks ,Artifact,"346,374","A-Easy,A-Easy"
Mr. Gogo Puzzles Just A Challenge Mr. Gogo Puzzles Lucky Flower ,Other-Hand-cut,"264,269","Hard,Average"
Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Klimt The Kiss ,Artifact,"428,338","Really-Hard,Hard"
Ecru Puzzles William Penhallow Henderson Lucero Place Artifact Puzzles Jonik Rapunzel ,"Artifact,Ecru","385,411","A-Easy,A-Easy"
