,pack_name,brand_0,brand_1,pieces_0,pieces_1,diff_0,diff_1,num_puzzles,diff_0_num,diff_1_num
0,Anne Belle Thompson The Mikado Anne Belle Thompson Two Kimonos,Other-Hand-cut,,387.0,242.0,Average,Average,2.0,2.0,2.0
1,Anthology Puzzles Alphonse Mucha La Plume Anthology Puzzles Fun at the Fair,,,320.0,160.0,Average,Average,2.0,2.0,2.0
2,Anthology Puzzles Colorful Cat Anthology Puzzles Life On The Reef,,,150.0,170.0,Average,Average,2.0,2.0,2.0
3,Anthology Puzzles Framed American Gothic Anthology Puzzles Haeckel Floral,,,320.0,300.0,Average,Average,2.0,2.0,2.0
4,Anthology Puzzles Over The Moon Anthology Puzzles Happy House Plants,,,278.0,177.0,Hard,A-Easy,2.0,3.0,1.0
5,Anthology Puzzles Wassily Kandinsky Houses At Murnau Anthology Puzzles Kite Flite,,,320.0,150.0,Hard,A-Easy,2.0,3.0,1.0
6,Artifact Puzzles Abraham Storck Arctic Artifact Puzzles Klimt Hope,Artifact,,76.0,137.0,A-Easy,A-Easy,2.0,1.0,1.0
7,Artifact Puzzles After the Tiger Hunt Artifact Puzzles Monet Chrysanthemums,Artifact,,373.0,262.0,Average,Average,2.0,2.0,2.0
8,Artifact Puzzles Amedeo Simonetti Artifact Puzzles Renoir Pears,Artifact,,269.0,166.0,Hard,A-Easy,2.0,3.0,1.0
9,Artifact Puzzles Bee Eater Artifact Puzzles Kevin Sloan Welcome to the Wilderness,Artifact,,439.0,418.0,Hard,A-Easy,2.0,3.0,1.0
10,Artifact Puzzles Bek Cruddace Europe Map ,Artifact,,900.0,,Average,,1.0,2.0,
11,Artifact Puzzles Breach Of Contract Artifact Puzzles Claire Henley Sailing Round The Mount,Artifact,,268.0,256.0,Average,Average,2.0,2.0,2.0
12,Artifact Puzzles Captive Unicorn Artifact Puzzles David Teniers Temptation of St. Anthony,Artifact,,159.0,210.0,Hard,Hard,2.0,3.0,3.0
13,Artifact Puzzles Christopher Wood Anemones Artifact Puzzles Paul Bond Interpretation Of Home,Artifact,,154.0,169.0,Average,Average,2.0,2.0,2.0
14,Artifact Puzzles Daniel Merriam Man In The Moon Artifact Puzzles Daniel Merriam  Tailspin,Artifact,,357.0,303.0,Average,Hard,2.0,2.0,3.0
15,Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams,Artifact,,189.0,175.0,A-Easy,A-Easy,2.0,1.0,1.0
16,Artifact Puzzles Erin Hanson Crystal Grove Artifact Puzzles Angie Rees Precious Cargo,Artifact,,357.0,399.0,Really-Hard,Average,2.0,4.0,2.0
17,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Jethro Buck Fishies,Artifact,,418.0,355.0,Hard,Really-Hard,2.0,3.0,4.0
18,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies,Artifact,,418.0,413.0,Average,Average,2.0,2.0,2.0
19,Artifact Puzzles Florine Stettheimer Asbury Park South Artifact Puzzles Kandinsky Squares with Concentric Circles,Artifact,,100.0,191.0,Average,Average,2.0,2.0,2.0
20,Artifact Puzzles Fred Lisaius Every Little Thing Artifact Puzzles Liv Wan Italy Map,Artifact,,352.0,385.0,Average,Average,2.0,2.0,2.0
21,Artifact Puzzles Gustav Klimt Baby Artifact Puzzles Karla Gerard By The Sea,Artifact,,295.0,356.0,Average,A-Easy,2.0,2.0,1.0
22,Artifact Puzzles Henri Charles Manguin Les Renoncules Artifact Puzzles Sakakibara Shiho Early Spring,Artifact,,173.0,109.0,A-Easy,A-Easy,2.0,1.0,1.0
23,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South,Artifact,,346.0,456.0,A-Easy,A-Easy,2.0,1.0,1.0
24,Artifact Puzzles Jethro Buck Fishies Artifact Puzzles Jim Flora Tampico,Artifact,,355.0,296.0,Really-Hard,A-Easy,2.0,4.0,1.0
25,Artifact Puzzles Joan de Burgunya Virgin and Child Artifact Puzzles Bruegel Tower of Babel,Artifact,,391.0,377.0,Average,Average,2.0,2.0,2.0
26,Artifact Puzzles Kandinsky Squares With Concentric Circles Artifact Puzzles Kandinsky Tensions Eased,Artifact,,191.0,126.0,Average,Average,2.0,2.0,2.0
27,Artifact Puzzles Kathryn Freeman Forest Nocturne Artifact Puzzles Hofmeister Flotilla Before Algiers,Artifact,,310.0,440.0,Average,Average,2.0,2.0,2.0
28,Artifact Puzzles Kathryn Freeman The Sunday Paper Artifact Puzzles Sandi Rigby Tree of Wisdom Wooden,Artifact,,177.0,68.0,A-Easy,Average,2.0,1.0,2.0
29,Artifact Puzzles Kessel Bugs Double-sided  Artifact Puzzles Fernand Pelez Saltimbanques,Artifact,,119.0,169.0,Average,Average,2.0,2.0,2.0
30,Artifact Puzzles Kozyndan Ode To California Artifact Puzzles Liv Wan Africa Map,,,361.0,,,,1.0,2.0,
31,Artifact Puzzles Kristian Adam Chippy Artifact Puzzles Diego Mazzeo Mechanical Griffin,,,361.0,,,,1.0,2.0,
32,Artifact Puzzles Kristian Adam Chippy Artifact Puzzles Gordon Barker Summer Beach,,,361.0,,,,1.0,2.0,
33,Artifact Puzzles Kristian Adams Snoozies Artifact Puzzles Jonathas Araujo Toucans,Artifact,,413.0,386.0,Average,Average,2.0,2.0,2.0
34,Artifact Puzzles Liv Wan Australia Map Artifact Puzzles Iwona Lifsches Riders On The Storm,Artifact,,418.0,523.0,A-Easy,A-Easy,2.0,1.0,1.0
35,Artifact Puzzles Louis Wain Cattown Races Artifact Puzzles Gerhard Munthe The Princess And The Knight,Artifact,,75.0,80.0,A-Easy,A-Easy,2.0,1.0,1.0
36,Artifact Puzzles Marie Amalia Pride Of Peacocks Artifact Puzzles DALL-E Animals In Motion,Artifact,,224.0,225.0,Average,Average,2.0,2.0,2.0
37,Artifact Puzzles Monet Chrysanthemums Artifact Puzzles Nadieh Bremer Color Dream,Artifact,,262.0,403.0,Hard,Average,2.0,3.0,2.0
38,Artifact Puzzles Nadieh Bremer Coronium Artifact Puzzles Nadieh Bremer Nebulium ,,,361.0,,,,1.0,2.0,
39,Artifact Puzzles Nadiezda Night Ship Artifact Puzzles Kevin Sloan Consequences of Hypnosis,Artifact,,283.0,282.0,A-Easy,A-Easy,2.0,1.0,1.0
40,Artifact Puzzles Paul Bond The Giver Artifact Puzzles Miskin Dilaram Harp,Artifact,,461.0,468.0,Hard,Hard,2.0,3.0,3.0
41,Artifact Puzzles Piero Di Cosimo Liberazione Di Andromeda Artifact Puzzles Joe Vaux Season Of The Rabbit,Artifact,,411.0,300.0,Hard,A-Easy,2.0,3.0,1.0
42,Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid,Artifact,,167.0,74.0,A-Easy,A-Easy,2.0,1.0,1.0
