pack_name,brand_0,brand_1,piece_count_0,piece_count_1,diff_0,diff_1,num_puzzles
Anne Belle Thompson The Mikado Anne Belle Thompson Two Kimonos,Other-Hand-cut,,387,242,Average,Average,2
Anthology Puzzles Alphonse Mucha La Plume Anthology Puzzles Fun at the Fair,,,320,160,Average,Average,2
Anthology Puzzles Colorful Cat Anthology Puzzles Life On The Reef,,,150,170,Average,Average,2
Anthology Puzzles Framed American Gothic Anthology Puzzles Haeckel Floral,,,320,300,Average,Average,2
Anthology Puzzles Over The Moon Anthology Puzzles Happy House Plants,,,278,177,Hard,A-Easy,2
Anthology Puzzles Wassily Kandinsky Houses At Murnau Anthology Puzzles Kite Flite,,,320,150,Hard,A-Easy,2
Artifact Puzzles Abraham Storck Arctic Artifact Puzzles Klimt Hope,Artifact,,76,137,A-Easy,A-Easy,2
Artifact Puzzles After the Tiger Hunt Artifact Puzzles Monet Chrysanthemums,Artifact,,373,262,Average,Average,2
Artifact Puzzles Amedeo Simonetti Artifact Puzzles Renoir Pears,Artifact,,269,166,Hard,A-Easy,2
Artifact Puzzles Bee Eater Artifact Puzzles Kevin Sloan Welcome to the Wilderness,Artifact,,439, 418,Hard,A-Easy,2
Artifact Puzzles Bek Cruddace Europe Map ,Artifact,,900,,Average,Average,1
Artifact Puzzles Breach Of Contract Artifact Puzzles Claire Henley Sailing Round The Mount,Artifact,,268,256,Average,Average,2
Artifact Puzzles Captive Unicorn Artifact Puzzles David Teniers Temptation of St. Anthony,Artifact,,159,210,Hard,Hard,2
Artifact Puzzles Christopher Wood Anemones Artifact Puzzles Paul Bond Interpretation Of Home,Artifact,,154,169,Average,Average,2
Artifact Puzzles Daniel Merriam Man In The Moon Artifact Puzzles Daniel Merriam  Tailspin,Artifact,,357,303,Average,Hard,2
Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams,Artifact,,189,175,A-Easy,A-Easy,2
Artifact Puzzles Erin Hanson Crystal Grove Artifact Puzzles Angie Rees Precious Cargo,Artifact,,357,399,Really-Hard,Average,2
Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Jethro Buck Fishies,Artifact,,418,355,Hard,Really-Hard,2
Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies,Artifact,,418,413,Average,Average,2
Artifact Puzzles Florine Stettheimer Asbury Park South Artifact Puzzles Kandinsky Squares with Concentric Circles,Artifact,,100,191,Average,Average,2
Artifact Puzzles Fred Lisaius Every Little Thing Artifact Puzzles Liv Wan Italy Map,Artifact,,352, 385,Average,Average,2
Artifact Puzzles Gustav Klimt Baby Artifact Puzzles Karla Gerard By The Sea,Artifact,,295,356,Average,A-Easy,2
Artifact Puzzles Henri Charles Manguin Les Renoncules Artifact Puzzles Sakakibara Shiho Early Spring,Artifact,,173,109,A-Easy,A-Easy,2
Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South,Artifact,,346,456,A-Easy,A-Easy,2
Artifact Puzzles Jethro Buck Fishies Artifact Puzzles Jim Flora Tampico,Artifact,,355,296,Really-Hard,A-Easy,2
Artifact Puzzles Joan de Burgunya Virgin and Child Artifact Puzzles Bruegel Tower of Babel,Artifact,,391,377,Average,Average,2
Artifact Puzzles Kandinsky Squares With Concentric Circles Artifact Puzzles Kandinsky Tensions Eased,Artifact,,191,126,Average,Average,2
Artifact Puzzles Kathryn Freeman Forest Nocturne Artifact Puzzles Hofmeister Flotilla Before Algiers,Artifact,,310,440,Average,Average,2
Artifact Puzzles Kathryn Freeman The Sunday Paper Artifact Puzzles Sandi Rigby Tree of Wisdom Wooden,Artifact,,177,68,A-Easy,Average,2
Artifact Puzzles Kessel Bugs Double-sided  Artifact Puzzles Fernand Pelez Saltimbanques,Artifact,,119,169,Average,Average,2
Artifact Puzzles Kristian Adams Snoozies Artifact Puzzles Jonathas Araujo Toucans,Artifact,,413, 386,Average,Average,2
Artifact Puzzles Liv Wan Australia Map Artifact Puzzles Iwona Lifsches Riders On The Storm,Artifact,,418,523,A-Easy,A-Easy,2
Artifact Puzzles Louis Wain Cattown Races Artifact Puzzles Gerhard Munthe The Princess And The Knight,Artifact,,75,80,A-Easy,A-Easy,2
Artifact Puzzles Marie Amalia Pride Of Peacocks Artifact Puzzles DALL-E Animals In Motion,Artifact,,224,225,Average,Average,2
Artifact Puzzles Monet Chrysanthemums Artifact Puzzles Nadieh Bremer Color Dream,Artifact,,262,403,Hard,Average,2
Artifact Puzzles Nadiezda Night Ship Artifact Puzzles Kevin Sloan Consequences of Hypnosis,Artifact,,283,282,A-Easy,A-Easy,2
Artifact Puzzles Paul Bond The Giver Artifact Puzzles Miskin Dilaram Harp,Artifact,,461,468,Hard,Hard,2
Artifact Puzzles Piero Di Cosimo Liberazione Di Andromeda Artifact Puzzles Joe Vaux Season Of The Rabbit,Artifact,,411,300,Hard,A-Easy,2
Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid,Artifact,,167,74,A-Easy,A-Easy,2
Artifact Puzzles Richard Friend Live Work Hope Artifact Puzzles Kristian Adam Mr. Pinks Place,Artifact,,177,203,A-Easy,A-Easy,2
Artifact Puzzles Roch Urbaniak Atlantyda Artifact Puzzles Edvard Munch Dance On The Beach,Artifact,,299,300,Average,A-Easy,2
Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,Artifact,,228,216,A-Easy,A-Easy,2
Artifact Puzzles Sandi Rigby Botanical Dreaming ,Artifact,,1273,,Hard,Average,1
Artifact Puzzles Tomasz Pietrzyk The Town Artifact Puzzles Qiu Ying Han Palace,Artifact,,390,423,A-Easy,Hard,2
