,name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
0,Artifact Puzzles Bek Cruddace Europe Map ,0.0,900.0,0.0,0.0,1
1,Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,228.0,0.0,0.0,0.0,1
2,Artifact Puzzles Sandi Rigby Botanical Dreaming ,0.0,0.0,273.0,0.0,1
3,DaVici Puzzles Awakening DaVici Puzzles ,0.0,450.0,0.0,0.0,1
4,DaVici Puzzles Under the Red Umbrella ,0.0,0.0,600.0,0.0,1
5,DaVici Red Book ,0.0,0.0,700.0,0.0,1
6,Davici Puzzles Claude Monet Woman in the Garden ,552.0,0.0,0.0,0.0,1
7,Davici Puzzles Photo Album Ecru Puzzles Sunny November ,0.0,600.0,0.0,0.0,1
8,Davici Puzzles Seasons ,0.0,500.0,0.0,0.0,1
9,Davici Puzzles Watchmaker ,0.0,400.0,0.0,0.0,1
10,Inside Adventure Odilon Redon Butterflies Peaceful Puzzles Green Heron ,0.0,604.0,0.0,0.0,1
11,Joyful Nook Puzzles Bettina Mills Coming Home ,0.0,700.0,0.0,0.0,1
12,Liberty Puzzle Jo Mora Cowboys of North America ,0.0,729.0,0.0,0.0,1
13,Liberty Puzzles Alan Paterson Historical Map of New Zealand ,0.0,0.0,677.0,0.0,1
14,Liberty Puzzles Atkinson On The River Greta ,0.0,0.0,609.0,0.0,1
15,Liberty Puzzles Beautiful Fishes Of The Deep ,0.0,605.0,0.0,0.0,1
16,Liberty Puzzles Beryl and Graham Peters Holiday Crackers ,603.0,0.0,0.0,0.0,1
17,Liberty Puzzles Birds of the Tropics ,0.0,745.0,0.0,0.0,1
18,Liberty Puzzles Claude Monet Sunrise ,0.0,0.0,517.0,0.0,1
19,Liberty Puzzles Claude Monet The Parc Monceau ,0.0,507.0,0.0,0.0,1
20,Liberty Puzzles Duke Beardsley Close Range ,0.0,613.0,0.0,0.0,1
21,Liberty Puzzles Elena Khmeleva Christmas Tree ,0.0,0.0,755.0,0.0,1
22,Liberty Puzzles James Sommerville Ocean Life ,0.0,0.0,769.0,0.0,1
23,Liberty Puzzles Jan Davidson Carmel by the Sea ,0.0,0.0,664.0,0.0,1
24,Liberty Puzzles Jan Davidson San Francisco ,0.0,670.0,0.0,0.0,1
25,Liberty Puzzles Jane Tattersfield Peacock And Pattern Peaceful Puzzles August Macke Landscape at the Tegersee ,0.0,508.0,0.0,0.0,1
26,Liberty Puzzles Jean Jans The Younger The Battle Of Granicus ,0.0,0.0,602.0,0.0,1
27,Liberty Puzzles Jean-Leon Gerome Carpet Merchant ,0.0,658.0,0.0,0.0,1
28,Liberty Puzzles Jo Mora Indians of North America ,0.0,0.0,762.0,0.0,1
29,Liberty Puzzles Linnea Pergola Light Snowfall in New York ,0.0,702.0,0.0,0.0,1
30,Liberty Puzzles Linnea Pergola Maui ,0.0,0.0,703.0,0.0,1
31,Liberty Puzzles Lynon Aksamit Chasing Butterflies 66 Mya ,0.0,0.0,657.0,0.0,1
32,Liberty Puzzles Lynon Aksamit Octopus ,0.0,0.0,0.0,495.0,1
33,Liberty Puzzles Michelangelo Last Judgement ,0.0,0.0,0.0,717.0,1
34,Liberty Puzzles Oregon Trail ,0.0,785.0,0.0,0.0,1
35,Liberty Puzzles Phil Lewis Flatirons ,0.0,864.0,0.0,0.0,1
36,Liberty Puzzles Phil Lewis Sugar Magnolia ,0.0,0.0,881.0,0.0,1
37,Liberty Puzzles Phil Lewis Sunshine Daydream ,0.0,0.0,902.0,0.0,1
38,Liberty Puzzles Pieter Brueghel Children Games ,0.0,795.0,0.0,0.0,1
39,Liberty Puzzles Plants And Insects ,0.0,0.0,568.0,0.0,1
40,Liberty Puzzles Rebecca Cambell The Menagerie ,0.0,0.0,642.0,0.0,1
41,Liberty Puzzles Richard Dadd The Fairy Fellers Master Stroke ,0.0,0.0,480.0,0.0,1
42,Liberty Puzzles Sue Coccia Great Horned Owl Liberty Puzzles Jan Barwick ,0.0,372.0,0.0,0.0,1
43,Liberty Puzzles The Poultry of the World ,0.0,0.0,699.0,0.0,1
44,Liberty Puzzles The Wonderous Isle of Manhattan ,0.0,0.0,722.0,0.0,1
45,Liberty Puzzles William Groppers American Folklore ,0.0,692.0,0.0,0.0,1
46,Mr. Bob Puzzles Gary Schlatter Burano Italy ,0.0,651.0,0.0,0.0,1
47,Mr. Bob Puzzles Robert Williams Dance of the Steel Girders ,0.0,1001.0,0.0,0.0,1
48,Mr. Gogo Cinema Challenge ,0.0,319.0,0.0,0.0,1
49,Mr. Gogo Puzzles Ernst Haeckel Hummingbirds ,0.0,356.0,0.0,0.0,1
50,Mr. Gogo Puzzles London Bridges  ,0.0,411.0,0.0,0.0,1
